point;time;Leq;L5;L10;L50;L90;condition
P4;88;65.46;67.81;67.62;65.19;62.24;Without fireworks
P4;89;67.6;70.78;70.02;66.44;64.66;Without fireworks
P4;90;68.83;71.74;70.54;65.85;62.69;Without fireworks
P4;91;65.84;70.48;68.27;63.02;61.14;Without fireworks
P4;92;67.52;67.32;67.05;64.68;62.24;Without fireworks
P4;93;63.18;65.76;64.57;62.49;61.1;Without fireworks
P4;94;67.57;73.44;72.31;64.07;61.65;Without fireworks
P4;95;66.32;71.76;70.14;62.53;60.63;Without fireworks
P4;96;64.17;67.03;65.75;63.4;62.36;Without fireworks
P4;97;64.83;68.35;67.44;63.69;61.96;Without fireworks
P4;98;62.68;65.05;64.35;62.28;60.98;Without fireworks
P4;99;63.55;66.33;64.75;62.89;61.37;Without fireworks
P4;100;64.98;67.81;67.34;63.06;61.53;Without fireworks
P4;101;64.37;67.48;66.82;63.39;60.91;Without fireworks
P4;102;62.09;64.63;63.52;61.44;60.05;Without fireworks
P4;103;61.85;65.06;63.59;61.24;59.97;Without fireworks
P4;104;61.83;63.47;63.39;61.53;60.44;Without fireworks
P4;105;68.57;75.58;70.58;63.69;61.49;Without fireworks
P4;106;64.22;68.09;66.62;63.06;61.1;Without fireworks
P4;107;66.77;66.03;64.41;62.01;61.33;Without fireworks
P4;108;60.91;63.6;61.72;60.49;58.96;Without fireworks
P4;109;62.28;64.33;63.84;61.93;60.08;Without fireworks
P4;110;65.66;70.01;68.91;63.95;61.6;Without fireworks
P4;111;61.68;64.01;63.57;61.16;59.34;Without fireworks
P4;112;62.11;66.74;64.26;60.84;59.39;Without fireworks
P4;113;61.53;64.42;63.24;60.89;59.45;Without fireworks
P4;114;64.24;67.38;66.29;62.58;60.12;Without fireworks
P4;115;61.37;64.9;62.04;60.22;58.98;Without fireworks
