point;time;Leq;L5;L10;L50;L90;condition
P1;87;79.97;82.06;81.7;79.16;77.65;Without fireworks
P1;88;77.81;79.75;79.6;77.39;76.08;Without fireworks
P1;89;78.28;79.21;79.15;78.27;76.81;Without fireworks
P1;90;77.38;78.83;78.49;77.14;76.38;Without fireworks
P1;91;77.3;78.47;78.16;77.17;76.15;Without fireworks
P1;92;77.37;78.77;78.69;77.1;76.29;Without fireworks
P1;93;78.23;79.97;79.6;78;76.82;Without fireworks
P1;94;77.69;78.92;78.73;77.64;76.41;Without fireworks
P1;95;77.59;79.44;78.48;77.53;76.07;Without fireworks
P1;96;79.15;81.55;80.9;78.37;77.25;Without fireworks
P1;97;78.56;80.67;79.61;78.08;76.96;Without fireworks
P1;98;79.36;82.75;82.09;77.91;76.57;Without fireworks
P1;99;78.77;81.86;80.36;78.07;76.29;Without fireworks
P1;100;78.14;79.86;79.51;77.62;76.23;Without fireworks
P1;101;78.98;81.95;80.56;78.55;77.07;Without fireworks
P1;102;78.51;80.37;80.04;78.01;76.68;Without fireworks
P1;103;77.86;79.69;79.28;77.28;76.18;Without fireworks
P1;104;77.3;79.32;78.26;76.88;75.52;Without fireworks
P1;105;78.13;81.3;79.68;77.7;76.07;Without fireworks
P1;106;80.02;83.29;82.79;78.07;75.93;Without fireworks
P1;107;77.73;81.44;78.88;76.54;75.14;Without fireworks
P1;108;76.68;79.44;78.75;75.97;73.81;Without fireworks
P1;109;77.18;79.51;78.8;76.76;74.95;Without fireworks
P1;110;77.05;79.27;78.52;76.26;75.12;Without fireworks
P1;111;76.7;79.81;77.56;76.19;74.97;Without fireworks
P1;112;77.65;80.5;79.57;77.09;75.69;Without fireworks
P1;113;77.29;78.95;78.37;77.16;75.09;Without fireworks
P1;114;78.69;82.67;79.88;76.89;75.37;Without fireworks
P1;115;77.68;80.03;79.41;77.06;75.56;Without fireworks
P2;0;62;64.88;64.5;61.13;59.99;Without fireworks
P2;1;63.48;67.8;65.35;61.34;59.54;Without fireworks
P2;2;67.94;73.23;71.51;65.18;61.15;Without fireworks
P2;3;65.37;69.46;68.47;64.02;61.24;Without fireworks
P2;4;63.77;66.92;66.21;63;60.39;Without fireworks
P2;5;63.46;67.13;65.02;62.71;61.13;Without fireworks
P2;6;63.04;64.96;63.8;62.73;61.37;Without fireworks
P2;7;63.96;67.03;65.85;63.08;60.79;Without fireworks
P2;8;62.08;63.74;63.64;61.74;60.17;Without fireworks
P2;9;65.87;69.2;68.32;65.27;62.8;Without fireworks
P2;10;66.94;69.84;69.33;66.46;63.69;Without fireworks
P2;11;65.51;69.03;68.59;64.04;61.24;Without fireworks
P2;12;66.48;72.23;69.19;63.06;61.72;Without fireworks
P2;13;65.14;69.54;67.61;63.87;60.76;Without fireworks
P2;14;63.83;66.79;65.68;63.13;62.02;Without fireworks
P2;15;65.1;68.03;66.79;64.45;62.27;Without fireworks
P2;16;65.21;68.31;66.74;64.4;62.15;Without fireworks
P2;17;65.36;70.03;68.33;63.52;61.78;Without fireworks
P2;18;66.7;70.48;70.13;64.35;62.38;Without fireworks
P2;19;64.77;66.69;66.39;64.57;62.6;Without fireworks
P2;20;63.62;67.23;66.6;62.83;60.76;Without fireworks
P2;21;67.22;71.86;71.08;65.5;62.79;Without fireworks
P2;22;64.92;67.63;66.66;64.04;61.65;Without fireworks
P2;23;65.87;68.89;68.29;65.06;62.48;Without fireworks
P2;24;66.39;70.95;69.48;64.33;61.52;Without fireworks
P2;25;65.29;70.33;68.21;63.43;61.44;Without fireworks
P2;26;63.49;66.67;65.16;62.95;59.95;Without fireworks
P2;27;66.29;71.77;70.21;63.58;62;Without fireworks
P2;28;63.97;69.99;65.61;62.31;60.39;Without fireworks
P2;29;63.27;66.04;65.72;62.62;60.38;Without fireworks
P2;30;64.48;67.15;66.31;63.92;61.85;Without fireworks
P2;31;65.53;70.78;70.1;63.49;60.5;Without fireworks
P2;32;62.88;64.73;64.27;62.74;60.78;Without fireworks
